fik_C1,fik_C2,fik_C3,fik_C4,DisplayName,Year,ExhibitionTitle,IsFuzzy
1.0,0.0,0.0,0.0,"alfred h. barr, jr.",1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,"george overbury (""pop"") hart",1930,Summer Exhibition: Painting and Sculpture,False
0.703165024902878,0.0032198805240647448,0.004002855964017173,0.28961223860903995,georges braque,1930,Painting in Paris|Summer Exhibition: Painting and Sculpture,True
0.42188238076637163,0.07728723283127967,0.09226575366946456,0.4085646327328841,marc chagall,1930,Painting in Paris|Summer Exhibition: Painting and Sculpture,True
0.11834066416943455,0.005666181881163376,0.006997277069027108,0.8689958768803748,giorgio de chirico,1930,Painting in Paris|Summer Exhibition: Painting and Sculpture,True
0.0658261543200367,0.0027957822920490023,0.003456747874873733,0.9279213155130406,andré derain,1930,Painting in Paris|Summer Exhibition: Painting and Sculpture,True
0.943273552940954,0.002025067678916098,0.0025115679569925465,0.05218981142313722,raoul dufy,1930,Painting in Paris|Summer Exhibition: Painting and Sculpture,True
0.6929889565284908,0.00675628513406773,0.008378308011587638,0.291876450325854,jean fautrier,1930,Painting in Paris|Summer Exhibition: Painting and Sculpture,True
0.8611531753815499,0.006731648524207941,0.008329719868943172,0.12378545622529886,jean-louis forain,1930,Painting in Paris|Summer Exhibition: Painting and Sculpture,True
0.7885339430041474,0.016620789513790677,0.020452327841356012,0.17439293964070587,marcel gromaire,1930,Painting in Paris|Summer Exhibition: Painting and Sculpture,True
0.2728341573042627,0.0074128928960245505,0.009186721960749763,0.7105662278389631,marie laurencin,1930,Painting in Paris|Summer Exhibition: Painting and Sculpture,True
0.7216976268833031,0.0101593113219935,0.012569712436420319,0.2555733493582832,fernand léger,1930,Painting in Paris|Summer Exhibition: Painting and Sculpture,True
0.769706851301939,0.005440381935728609,0.006753733078609801,0.21809903368372252,jean lurçat,1930,Painting in Paris|Summer Exhibition: Painting and Sculpture,True
0.24267029546811603,0.011254416476872945,0.013889502636237224,0.7321857854187739,henri matisse,1930,Painting in Paris|Summer Exhibition: Painting and Sculpture,True
0.44328327147774255,0.022699970802547726,0.027917303250586084,0.5060994544691236,joan miró,1930,Painting in Paris|Summer Exhibition: Painting and Sculpture,True
0.6365995622399502,0.01940248224013271,0.023919896066479443,0.3200780594534376,pablo picasso,1930,Painting in Paris|Summer Exhibition: Painting and Sculpture,True
0.8770999954291462,0.002723346014699045,0.003383051554321879,0.11679360700183285,georges rouault,1930,Painting in Paris|Summer Exhibition: Painting and Sculpture,True
0.24793972294906907,0.026239288175413517,0.03205300743099861,0.6937679814445188,andré dunoyer de segonzac,1930,Painting in Paris|Summer Exhibition: Painting and Sculpture,True
1.0,0.0,0.0,0.0,maurice utrillo,1930,Painting in Paris|Summer Exhibition: Painting and Sculpture,True
0.0,0.0,1.0,0.0,paul klee,1930,"Weber, Klee, Lehmbruck, Maillol|Summer Exhibition: Painting and Sculpture",True
0.022513613568783297,0.06941395578080384,0.8857121917161055,0.02236023893430732,wilhelm lehmbruck,1930,"Weber, Klee, Lehmbruck, Maillol|Summer Exhibition: Painting and Sculpture",True
0.028879723470597952,0.08797343635143243,0.8541593779994859,0.028987462178483598,aristide maillol,1930,"Weber, Klee, Lehmbruck, Maillol|Summer Exhibition: Painting and Sculpture",True
0.0,0.0,1.0,0.0,max weber,1930,"Weber, Klee, Lehmbruck, Maillol|Summer Exhibition: Painting and Sculpture",True
