fik_C1,fik_C2,fik_C3,fik_C4,DisplayName
7.895109629532826e-05,0.005717799829202663,0.003578725619634156,0.9906245234548677,Richard L. Hopkins
7.895109629532826e-05,0.005717799829202663,0.003578725619634156,0.9906245234548677,Hungerford Plastics Corp.
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,"International Business Machines Corp., Armonk, NY"
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,"J.B. Miller Co., Inc."
0.00023746419219546557,0.9786754867619072,0.006391598794835695,0.014695450251061604,"Jud Williams, Inc."
0.004155505608357906,0.1878172351990076,0.5680311994348879,0.23999605975774657,"Karhula Glassworks, Finland"
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,Alfred E. Knobler & Co.
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,Kro Flies Kites
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,"Krystallglasmanufaktur Theresienthal Gmbh, Zweisel, Germany"
0.002172277505156776,0.8770104853839472,0.04450238587747345,0.07631485123342255,Ernst Lichtblau
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,"McKay, Davis and McLane"
0.00023746419219546557,0.9786754867619072,0.006391598794835695,0.014695450251061604,"Mil-Art Co., Inc."
0.00023746419219546557,0.9786754867619072,0.006391598794835695,0.014695450251061604,Carl Molin
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,Montici Artisans
0.0009664600292709071,0.117701860175574,0.04508871028908983,0.8362429695060651,"Vittorio Necchi, Pavia, Italy"
0.0012928511952385344,0.17415795356583577,0.06664098923987255,0.7579082059990532,Marcello Nizzoli
0.00023746419219546557,0.9786754867619072,0.006391598794835695,0.014695450251061604,Gunnel Nyman
0.0007731385456209951,0.07376268001938709,0.04253372030751288,0.882930461127479,"Olivetti, Milan"
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,Oy Arabia AB
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,"Patterson Fabrics, Inc."
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,"Paul Bonhop, Inc."
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,Plymouth Colony Farms
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,K.E. Porter
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,R.S. Radcliffe
